Nome do Produto;Descricao do Produto;Fabricante;Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;ID Subcategoria
Contoso USB Data Link-direct connect adapter E600 Black;USB data Link - direct connect adapter;Contoso, Ltd;Contoso;Econômico;8,62;0.0;761;22
Contoso Lens cap E80 Black;Lens cap black;Contoso, Ltd;Contoso;Econômico;15,27;0.0;765;22
Contoso Battery charger - bike E200 Black;Primary extended capacity battery pack -for bike;Contoso, Ltd;Contoso;Econômico;10,15;0.0;766;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White;Laptop cooling hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Econômico;15,24;0.0;789;22
Contoso Home/Office Laptop Power Adapter E300 White;Home/office laptop power adapter;Contoso, Ltd;Contoso;Econômico;13;0.0;790;22
Contoso 90W AC/DC Power Adapter E300 White;Enhanced capacity battery adapter;Contoso, Ltd;Contoso;Econômico;6,07;0.0;794;22
Contoso Reserve Pen - Tablet Pen E200 White;Reserve pen - tablet pen, connectivity technology, wireless;Contoso, Ltd;Contoso;Econômico;7,09;0.0;795;22
Contoso USB Data Link - direct connect adapter E600 White;USB data Link - direct connect adapter;Contoso, Ltd;Contoso;Econômico;8,62;0.0;796;22
Contoso 90W AC/DC Power Adapter E300 Grey;Enhanced capacity battery adapter;Contoso, Ltd;Contoso;Econômico;6,07;0.0;824;22
Contoso Reserve Pen - Tablet Pen E200 Grey;Reserve pen - tablet pen, connectivity technology, wireless;Contoso, Ltd;Contoso;Econômico;7,09;0.0;825;22
Contoso USB Data Link - direct connect adapter E600 Grey;USB data Link - direct connect adapter;Contoso, Ltd;Contoso;Econômico;8,62;0.0;826;22
Contoso Lens cap E80 Grey;Lens cap black;Contoso, Ltd;Contoso;Econômico;15,27;0.0;830;22
Contoso Battery charger - bike E200 Grey;imary extended capacity battery pack;Contoso, Ltd;Contoso;Econômico;10,15;0.0;831;22
Contoso USB Optical Mouse E200 Grey;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;0.0;832;22
Contoso Bright Light battery E20 White;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;0.0;845;22
Contoso Ultraportable Neoprene Sleeve E30 Black;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;0.0;846;22
Contoso Ultraportable Neoprene Sleeve E30 Pink;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;0.0;847;22
Contoso Ultraportable Neoprene Sleeve E30 Yellow;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;0.0;848;22
Contoso Ultraportable Neoprene Sleeve E30 Green;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;0.0;849;22
Contoso Wireless Laser Mouse E50 Black;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;0.0;870;22
Contoso Wireless Laser Mouse E50 White;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;0.0;871;22
Contoso Wireless Laser Mouse E50 Silver;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;0.0;872;22
Contoso Wireless Notebook Optical Mouse X205 Black;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;0.0;874;22
Contoso Wireless Notebook Optical Mouse X205 White;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;0.0;875;22
Contoso Wireless Notebook Optical Mouse X205 Blue;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;0.0;876;22
Contoso Wireless Notebook Optical Mouse X205 Silver;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;0.0;877;22
Contoso Wireless Notebook Optical Mouse X205 Orange;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;0.0;878;22
Contoso Bluetooth Notebook Mouse X305 Black;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;165.0;883;22
Contoso Bluetooth Notebook Mouse X305 White;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;165.0;884;22
Contoso Bluetooth Notebook Mouse X305 Silver;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;165.0;885;22
Contoso Bluetooth Notebook Mouse X305 Grey;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;165.0;886;22
Contoso USB Wave Multi-Media Keyboard M901 Gold;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Regular;11,91;0.0;839;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold;Golden laptop cooling Hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Regular;18,35;0.0;840;22
Contoso Leather Case - case for digital photo camera X20 White;Leather case for digital photo camera;Contoso, Ltd;Contoso;Luxo;13,22;0.0;799;22
Contoso Smart Battery M901 Blue;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;0.0;775;22
Contoso Digital Camera Accessory kit M200 Blue;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;0.0;776;22
Contoso Car power adapter M90 White;Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged.;Contoso, Ltd;Contoso;Regular;9,17;0.0;780;22
Contoso Notebook Peripheral Kit M69 White;It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe;Contoso, Ltd;Contoso;Regular;7,59;0.0;781;22
Contoso Laptop Starter Bundle M200 White;Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need;Contoso, Ltd;Contoso;Regular;7,59;0.0;784;22
Contoso Education Essentials Bundle M300 White;Education messenger essentials Bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Regular;4,37;0.0;785;22
Contoso Smart Battery M901 White;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;0.0;788;22
Contoso Car power adapter M90 Grey;Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged.;Contoso, Ltd;Contoso;Regular;9,17;0.0;810;22
Contoso Notebook Peripheral Kit M69 Grey;It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe;Contoso, Ltd;Contoso;Regular;7,59;0.0;811;22
Contoso Laptop Starter Bundle M200 Grey;Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need;Contoso, Ltd;Contoso;Regular;7,59;0.0;814;22
Contoso Education Essentials Bundle M300 Grey;Education messenger essentials Bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Regular;4,37;0.0;815;22
Contoso Smart Battery M901 Grey;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;0.0;818;22
Contoso Car power adapter M90 Black;Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged;Contoso, Ltd;Contoso;Regular;9,17;0.0;745;22
Contoso Notebook Peripheral Kit M69 Black;It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe;Contoso, Ltd;Contoso;Regular;7,59;0.0;746;22
Contoso Laptop Starter Bundle M200 Black;Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need;Contoso, Ltd;Contoso;Regular;7,59;0.0;749;22
Contoso Education Essentials Bundle M300 Black;Education messenger essentials Bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Regular;4,37;0.0;750;22
Contoso Smart Battery M901 Black;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;0.0;753;22
Contoso USB 2.0 Dock Station docking station M800 Black;USB 2.0 dock station docking station;Contoso, Ltd;Contoso;Regular;13,75;0.0;756;22
Contoso Enhanced Capacity Battery M800 Black;Home office enhanced capacity battery;Contoso, Ltd;Contoso;Regular;12,83;0.0;757;22
Contoso Connectivity Starter Kit Smart Buy M680 Black;Connectivity starter kit smart buy;Contoso, Ltd;Contoso;Regular;12,83;0.0;758;22
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black;Primary extended capacity battery pack - notebook battery;Contoso, Ltd;Contoso;Luxo;11,23;0.0;762;22
Contoso Digital camera accessory kit M200 Black;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;0.0;763;22
Contoso Leather Case - case for digital photo camera X20 Black;Leather Case - case for digital photo camera;Contoso, Ltd;Contoso;Luxo;13,22;0.0;764;22
Contoso USB 2.0 Dock Station docking station M800 White;USB 2.0 dock station docking station;Contoso, Ltd;Contoso;Regular;13,75;0.0;791;22
Contoso Enhanced Capacity Battery M800 White;Home office enhanced capacity battery;Contoso, Ltd;Contoso;Regular;12,83;0.0;792;22
Contoso Connectivity Starter Kit Smart Buy M680 White;Connectivity starter kit smart buy;Contoso, Ltd;Contoso;Regular;12,83;0.0;793;22
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White;Primary extended capacity battery pack - notebook battery;Contoso, Ltd;Contoso;Luxo;11,23;0.0;797;22
Contoso Digital camera accessory kit M200 White;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;0.0;798;22
Contoso USB 2.0 Dock Station docking station M800 Grey;USB 2.0 dock station docking station;Contoso, Ltd;Contoso;Regular;13,75;0.0;821;22
Contoso Enhanced Capacity Battery M800 Grey;Home office enhanced capacity battery;Contoso, Ltd;Contoso;Regular;12,83;0.0;822;22
Contoso Connectivity Starter Kit Smart Buy M680 Grey;Connectivity starter kit smart buy;Contoso, Ltd;Contoso;Regular;12,83;0.0;823;22
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey;Primary extended capacity battery pack - notebook battery;Contoso, Ltd;Contoso;Luxo;11,23;0.0;827;22
Contoso Digital camera accessory kit M200 Grey;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;0.0;828;22
Contoso Leather Case - case for digital photo camera X20 Grey;Leather case for digital photo camera;Contoso, Ltd;Contoso;Luxo;13,22;0.0;829;22
Contoso Laptop Keyboard X105 Black;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;0.0;850;22
Contoso Laptop Keyboard X105 White;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;0.0;851;22
Contoso Laptop Keyboard X105 Brown;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;0.0;852;22
Contoso Laptop Keyboard X105 Silver;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;0.0;853;22
Contoso Multimedia Speakers M25 Brown;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;141.9;854;22
Contoso Multimedia Speakers M25 Blue;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;141.9;855;22
Contoso Multimedia Speakers M25 Black;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;141.9;856;22
Contoso Multimedia Speakers M25 White;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;141.9;857;22
Contoso Wireless Notebook Optical Mouse M35 Black;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;0.0;858;22
Contoso Wireless Notebook Optical Mouse M35 White;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;0.0;859;22
Contoso Wireless Notebook Optical Mouse M35 Blue;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;0.0;860;22
Contoso Wireless Notebook Optical Mouse M35 Silver;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;0.0;861;22
Contoso Wireless Notebook Optical Mouse M35 Orange;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;0.0;862;22
Contoso Optical USB Mouse M45 Black;An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use;Contoso, Ltd;Contoso;Regular;23,45;0.0;863;22
Contoso Optical USB Mouse M45 White;An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use;Contoso, Ltd;Contoso;Regular;23,45;0.0;864;22
Contoso Optical USB Mouse M45 Grey;An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use;Contoso, Ltd;Contoso;Regular;23,45;0.0;865;22
Contoso Wireless Laser Mouse M55 Black;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;0.0;866;22
Contoso Wireless Laser Mouse M55 White;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;0.0;867;22
Contoso Wireless Laser Mouse M55 Grey;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;0.0;868;22
Contoso Wireless Laser Mouse M55 Silver;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;0.0;869;22
Contoso Multi-line phones M30 White;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;0.0;1352;29
Contoso KSU-less key system M38 White;Enjoy unlimited US calling, exceptional voice quality;Contoso, Ltd;Contoso;Regular;12,41;0.0;1353;29
Contoso Hybrid system M60 White;Dual Keypad, talking caller ID, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;13,33;0.0;1354;29
Contoso Private Branch Exchange M88 White;Caller ID feature, Lighted keypad, handset speakerphone;Contoso, Ltd;Contoso;Regular;15,17;0.0;1355;29
Contoso 4 Handset Cordless Phone System M86 White;Lighted keypad, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;16,55;0.0;1356;29
Contoso Private Automatic Branch Exchange M65 White;Digital answering machine with 16 minutes recording time;Contoso, Ltd;Contoso;Regular;17,93;0.0;1357;29
Contoso Electronic Private Automatic Branch Exchange M90 White;Phonebook directory with memory for 20 entries silver;Contoso, Ltd;Contoso;Regular;18,39;0.0;1358;29
Contoso Centrex Phone System L10 White;5.8 GHz frequency that won't interfere with wireless networks, caller ID/Call waiting compatible with memory for last 45 callers;Contoso, Ltd;Contoso;Luxo;14,24;0.0;1359;29
Contoso In front of Centrex L15 White;Lighted keypad, caller ID, 3-way conferencing, expandable up to 6 handsets;Contoso, Ltd;Contoso;Luxo;15,57;0.0;1360;29
Contoso Behind Centrex X15 White;LCD screen for viewing contacts, compatible with PCs, plug into USB port for use;Contoso, Ltd;Contoso;Luxo;16,56;0.0;1361;29
Contoso Phone with 13-Number Memory (210) M301 White;Phone with 13-number memory (210);Contoso, Ltd;Contoso;Regular;7,81;0.0;1362;29
Contoso Expandable Cordless Phone System M008 White;Special backlit keypad, receiver volume control, handset volume control;Contoso, Ltd;Contoso;Regular;10,57;0.0;1363;29
Contoso Single-line phones E10 Black;1-line operation, LCD display - monochrome;Contoso, Ltd;Contoso;Econômico;5,09;0.0;1316;29
Contoso Dual Handset Cordless Phone System  E20 Black;Dual handset cordless phone system with answering system;Contoso, Ltd;Contoso;Econômico;6,62;0.0;1317;29
Contoso 3 Handset Cordless Phone System  E30 Black;16-minute all-digital answering system, wireless network friendly;Contoso, Ltd;Contoso;Econômico;8,66;0.0;1318;29
Contoso Multi-line phones M30 Black;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;0.0;1319;29
Contoso KSU-less key system M38 Black;Enjoy unlimited US calling, exceptional voice quality;Contoso, Ltd;Contoso;Regular;12,41;0.0;1320;29
Contoso Hybrid system M60 Black;Dual Keypad, talking caller ID, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;13,33;0.0;1321;29
Contoso Private Branch Exchange M88 Black;Caller ID feature, lighted key pad ,handset speakerphone;Contoso, Ltd;Contoso;Regular;15,17;0.0;1322;29
Contoso 4 Handset Cordless Phone System M86 Black;Lighted keypad, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;16,55;0.0;1323;29
Contoso Private Automatic Branch Exchange M65 Black;Digital answering machine with 16 minutes recording time;Contoso, Ltd;Contoso;Regular;17,93;0.0;1324;29
Contoso Electronic Private Automatic Branch Exchange M90 Black;Phonebook directory with memory for 20 entries;Contoso, Ltd;Contoso;Regular;18,39;0.0;1325;29
Contoso Centrex Phone System L10 Black;5.8 GHz frequency that won't interfere with wireless networks, caller ID/Call waiting compatible with memory for last 45 callers;Contoso, Ltd;Contoso;Luxo;14,24;0.0;1326;29
Contoso In front of Centrex L15 Black;Lighted keypad, caller ID, 3-way conferencing, expandable up to 6 handsets;Contoso, Ltd;Contoso;Luxo;15,57;0.0;1327;29
Contoso behind Centrex X15 Black;LCD screen for viewing contacts, compatible with PCs, plug into USB port for use;Contoso, Ltd;Contoso;Luxo;16,56;0.0;1328;29
Contoso Phone with 13-Number Memory (210) M301 Black;Phone with 13-number memory (210);Contoso, Ltd;Contoso;Regular;7,81;0.0;1329;29
Contoso Expandable Cordless Phone System M008 Black;Special backlit keypad, receiver volume control, handset volume control;Contoso, Ltd;Contoso;Regular;10,57;0.0;1330;29
Contoso Phone System Accessory Handset with Charger M308 Black;Built-in 60-minute digital answering machine;Contoso, Ltd;Contoso;Regular;12,41;0.0;1331;29
Contoso 2-Line Corded Cordless Telephone M202 Black;Digital duplex speakerphones built into back of handset, built-in clock with alarm on handset;Contoso, Ltd;Contoso;Regular;13,33;0.0;1332;29
